QuestionID,Category,Subtopic,QuestionPrompt,Problem,WhyUnsafeToAutoFix,RecommendedManualReview,AuditedAt
cmstkgcjk007g20u1d3zisxfi,"Numerical Reasoning","Number Sequence - Special Sequences","What is the exact numerical value of Cassini's identity expression Fₙ₊₁ Fₙ₋₁ - Fₙ² for the 9th Fibonacci number (n = 9)?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.690Z
cmstkgcjj005p20u10089v97l,"Numerical Reasoning","Number Sequence - Pattern Recognition","Identify the next number in the sequence with alternating and expanding operations:

2, 4, 1, 5, 0, 6, -1, ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.701Z
cmstkgcjl008420u1r707eins,"Numerical Reasoning","Number Sequence - Higher","What is the 9th term in the alternating signed polynomial sequence:

0, -3, 8, -15, 24, -35, 48, -63, ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.751Z
cmstkgcqu008k20u1baoy1l6m,"Numerical Reasoning","Number Sequence - Higher","Find the missing number in the alternating sign arithmetic progression:

10, -8, 6, -4, 2, 0, -2, ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:03.867Z
cmstkgcqu008h20u1iimv3rmk,"Numerical Reasoning","Number Sequence - Higher","What is the next number in the alternating signed rational geometric sequence:

1, -1/2, 1/4, -1/8, 1/16, -1/32, ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:04.063Z
cmstkgcqw00b020u1c4lc9xrw,"Numerical Reasoning","Word Problems - Arithmetic Word Problems","If the Σ of 9 consecutive integers is 0, what is the mathematical product of all 9 integers in the set?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:04.067Z
cmstkgdia00m320u1da9g1p7s,"Analytical Reasoning","Symbolic Logic Abstract Reasoning - Logic Reasoning Types","Consider the 3x3 symbolic set-logic matrix where operations follow a strict row-wise set intersection rule: Row 1: [{α, β, γ}, {β, γ, δ}, {β, γ}] Row 2: [{δ, epsilon, zeta}, {epsilon, zeta, eta}, {epsilon, zeta}] Row 3: [{θ, iota, kappa}, {iota, kappa, λ}, ?] What set completes the pattern in Row 3?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:06.550Z
cmstkgdi700jr20u1gfxf0652,"Analytical Reasoning","Symbolic Logic Abstract Reasoning - Logic Reasoning Types","Consider the nested conditional proposition: \""If the national budget is approved (B), then if the infrastructure project is certified (C), funding will be disbursed (D)\"" [B implies (C implies D)]. By the logical Law of Exportation, this statement is strictly equivalent to:","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:06.590Z
cmstkgdia00m220u1hf1qx3fs,"Analytical Reasoning","Symbolic Logic Abstract Reasoning - Logic Reasoning Types","In a symbolic logic matrix, each term undergoes a dual transformation rule based on row (R) and column (C): Row 1: [Δ₂, Phi₄, Ω₈] Row 2: [Δ₄, Phi₈, Ω₁₆] Row 3: [Δ₈, Phi₁₆, ?] What is the missing term that logically completes the matrix?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:06.705Z
cmstkgdp800mb20u1asc1kd9n,"Analytical Reasoning","Symbolic Logic Abstract Reasoning - Logic Reasoning Types","Consider a symbolic parity function operating on 3-bit binary inputs: Y = (X₁ oplus X₂) oplus X₃ (where oplus is Exclusive OR). Given training samples: [1, 0, 0] to 1, [1, 1, 0] to 0, [1, 1, 1] to 1, [0, 1, 0] to 1. What is the deterministic output for the input vector [0, 1, 1]?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:07.174Z
cmstkgeie00yk20u1u2ziml95,"Analytical Reasoning","Data Interpretation - Quantitative and Graphical Analysis","Calculation: 2","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:28:44.288Z
cmstwd59v005a04l5hchrgfeu,"Analytical Reasoning","Coding and Decoding - Alphanumeric & Cipher Patterns","In a digital text compressor, word syllables are replaced by unique symbol codes:
'CON' = #1
'TRACT' = *2
'TRACTOR' = *2%
'ACT' = &3
What is the compressed code for the word 'CONTRACTOR'?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:01.767Z
cmstwd59v005f04l519etlat0,"Analytical Reasoning","Coding and Decoding - Alphanumeric & Cipher Patterns","In a symbol substitution language, 'PASS' is written as '@#' and 'PORT' is written as '@%&!'. How is the word 'ROAST' written in this symbol language?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:02.010Z
cmstwd59w007v04l5qarbxnu9,"Analytical Reasoning","Logical Sequencing - Chronological & Logical Progression","A document routing workflow requires the following rules to be satisfied:
1. Intake is the first step.
2. Review must occur before Supervisor Sign-off.
3. Payment Verification must occur after Review but before Supervisor Sign-off.
4. Final Archiving must be the last step.
Which of the following sequences VIOLATES the routing rules?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:07.244Z
cmstwd59w008104l51wdhc4d0,"Analytical Reasoning","Logical Sequencing - Chronological & Logical Progression","A municipal project schedule consists of five phases: Concept (C), Budgeting (B), Engineering Design (E), Procurement (P), and Construction (K).
The rules state:
- Concept must be first.
- Construction must be fifth.
- Budgeting must occur before Engineering Design.
- Procurement must occur after Engineering Design.
Which of the following sequences VIOLATES the project schedule rules?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:07.414Z
cmstwd59w008c04l5j53bw8yr,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A state college campus experiences frequent motorcycle accidents near its main entrance gate during morning rush hours.

Proposed Courses of Action:
I. Construct speed humps, install clear warning signage, and deploy campus traffic enforcers near the gate during peak hours.
II. Confiscate all motorcycles driven by students and faculty members permanently.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:07.875Z
cmstwd59w008d04l5q9fr33ju,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A municipal library notices a declining number of youth visitors over the past three years as digital media usage has grown.

Proposed Courses of Action:
I. Modernize library facilities by adding high-speed internet access, digital e-book archives, and youth study spaces.
II. Impose financial fines on local students who do not visit the library at least once a month.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:07.947Z
cmstwd59w008e04l5uavhgu1t,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A municipal seaport experiences severe traffic congestion on access roads caused by delivery trucks queuing on two-lane streets waiting for cargo clearance.

Proposed Courses of Action:
I. Establish an off-site truck staging area with a digital appointment reservation system for cargo drop-offs.
II. Ban all cargo delivery trucks from entering the seaport municipality permanently.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:07.981Z
cmstwd59w008f04l5arlboy8y,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A government regional office faces severe paper shortages due to excessive printing of internal administrative drafts.

Proposed Courses of Action:
I. Transition to a paperless digital document approval system for internal memos and draft reviews.
II. Prohibit employees from taking notes during official administrative meetings.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.010Z
cmstwd59w008g04l5c2046r97,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: An LGU public market experiences recurring electrical fires caused by illegal octopus wiring and overloaded electrical outlets among stalls.

Proposed Courses of Action:
I. Conduct a comprehensive electrical safety inspection, disconnect illegal wiring, and upgrade the market's central electrical distribution infrastructure.
II. Require market vendors to operate without any electrical lighting or appliances.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.040Z
cmstwd59w008h04l5wlcu8p4a,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A rural health unit notices an increase in waterborne intestinal illnesses in Barangay Riverside during the rainy season.

Proposed Courses of Action:
I. Conduct immediate water quality testing of community drinking wells and distribute water purification tablets to affected households.
II. Advise residents to stop drinking water entirely during the rainy season.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.069Z
cmstwd59w008i04l5ekixn5d3,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A public elementary school notices that pupils are consuming excessive amounts of sugary snacks sold by unauthorized vendors right outside the school gate.

Proposed Courses of Action:
I. Coordinate with local barangay officials to enforce zoning rules against unauthorized street vendors near school premises.
II. Offer healthy, affordable meal and snack options inside the school cafeteria while promoting nutrition awareness.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.100Z
cmstwd59w008j04l5sn8s283w,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A government department discovers that confidential draft policy documents were leaked to social media platforms prior to official publication.

Proposed Courses of Action:
I. Conduct an administrative security investigation to identify the source of the leak and restrict access to confidential draft files using digital access controls.
II. Discontinue all policy development and revoke all existing department policies immediately.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.130Z
cmstwd59w008k04l5q8idnzkl,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A municipal disaster management officer observes that local residents in flood-prone coastal areas ignore typhoon evacuation warnings until water levels are dangerously high.

Proposed Courses of Action:
I. Conduct community disaster risk awareness sessions and establish early warning siren protocols in coordination with barangay leaders.
II. Pre-identify safe evacuation centers and organize local transport assets for immediate community deployment during weather alerts.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.161Z
cmstwd59w008l04l58h21hq6b,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: An audit of a municipal health clinic reveals that temperature-sensitive vaccines are routinely exposed to heat spoilage due to frequent unscheduled local power outages on weekends.

Proposed Courses of Action:
I. Dispose of all vaccines on Monday mornings regardless of temperature monitoring records.
II. Install an automatic solar-powered backup generator and temperature logging alert system at the clinic.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.201Z
cmstwd59w008m04l5futuggc7,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A district hospital notes a high incidence of post-surgical site infections over the past two months.

Proposed Courses of Action:
I. Audit and strictly enforce sterilization protocols in operating rooms and mandate infection control retraining for surgical staff.
II. Suspend all surgical operations indefinitely and refer all medical patients to private clinics.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.245Z
cmstwd59w008n04l5hv23pgn4,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: An urban barangay experiences frequent waterlogging on major residential streets after brief rainfall due to garbage clogging storm drainage grates.

Proposed Courses of Action:
I. Conduct regular community drainage clean-up drives and strictly enforce anti-littering ordinances with community penalties.
II. Increase municipal water consumption tariffs for all barangay households.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.277Z
cmstwd59w008o04l5j42lwl6y,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A government agency receives numerous public complaints about slow responses to email inquiries sent to its official public information inbox.

Proposed Courses of Action:
I. Set up an automated ticketing system to track, assign, and monitor inquiry response times against target service standards.
II. Conduct staff training on customer communication standards and assign dedicated personnel to monitor public inquiries daily.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.309Z
cmstwd59w008p04l5tnhnhl98,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A state university experiences frequent power surges that damage sensitive laboratory equipment during rainy seasons.

Proposed Courses of Action:
I. Install industrial surge protectors and uninterruptible power supply (UPS) units for all sensitive laboratory devices.
II. Conduct routine electrical grid inspections and transformer maintenance in coordination with the local power utility company.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.339Z
cmstwd59w008q04l5fzrsvuh1,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A municipal treasury office discovers an accounting discrepancy between daily cash receipts collected and bank deposit slips submitted over the last quarter.

Proposed Courses of Action:
I. Initiate an immediate internal financial audit and temporarily assign cash collection duties to an independent officer pending investigation.
II. Cover the cash deficit using the municipal employee emergency welfare fund.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.370Z
cmstwd59w008r04l5lqdhbo6q,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: Residents of Barangay San Rafael report that stray dogs are roaming public market aisles, creating health and safety concerns for shoppers.

Proposed Courses of Action:
I. Conduct humane animal impounding in coordination with the municipal veterinary office and enforce local pet ownership ordinances.
II. Ban all residents from bringing food or groceries into the public market area.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.402Z
cmstwd59w008s04l5dqxkv3vx,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A regional government agency experiences high staff turnover among junior IT specialists, who leave after six months citing lack of career progression and inadequate technical training.

Proposed Courses of Action:
I. Require junior IT specialists to sign a mandatory ten-year employment bond upon joining the agency.
II. Establish structured technical certification pathways and clear performance-based career promotion tracks for junior technical personnel.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.433Z
cmstwd59w008t04l5xqn6tm52,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A public library's online archiving system experiences frequent cyber-attacks that temporarily disable public access to digitized historical documents.

Proposed Courses of Action:
I. Implement multi-tier firewall protection, routine vulnerability patch updates, and encrypted off-site data backups.
II. Restrict digital archive access strictly to library staff members during office hours.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.463Z
cmstwd59w008u04l59qpwfe29,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: Heavy monsoon rains cause recurring soil erosion that repeatedly blocks a main provincial road connecting agricultural towns to the port city.

Proposed Courses of Action:
I. Construct permanent concrete retaining walls and bio-engineering slope stabilization along the eroded hillside.
II. Permanently close the provincial road and reroute all farm produce vehicles onto an unpaved mountain trail.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.494Z
