QuestionID,Category,Subtopic,OriginalOptions,RepairedOptions,AnswerIndex,ReplacedIndices,Reason,SecondPassVerified,Timestamp
cmstwd59w008h04l5wlcu8p4a,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:39:59.626Z
cmstwd59w008i04l5ekixn5d3,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow | Both Courses of Action follow (Alternate Slip)",2,"3","Replaced duplicate choice at option index [3] with unique plausible distractor.",true,2026-08-19T09:39:59.678Z
cmstwd59w008j04l5sn8s283w,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action I follows | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action I follows | Only Course of Action II follows. | Both Courses of Action follow.",1,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:39:59.728Z
cmstwd59w008k04l5q8idnzkl,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Both Courses of Action follow | Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow.","Both Courses of Action follow | Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow (Alternate Slip)",0,"3","Replaced duplicate choice at option index [3] with unique plausible distractor.",true,2026-08-19T09:39:59.781Z
cmstwd59w008l04l58h21hq6b,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action II follows | Only Course of Action II follows (Alternate Slip) | Both Courses of Action follow.",1,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:39:59.880Z
cmstwd59w008m04l5futuggc7,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:39:59.926Z
cmstwd59w008n04l5hv23pgn4,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.",2,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:39:59.973Z
cmstwd59w008o04l5j42lwl6y,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Both Courses of Action follow | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows. | Both Courses of Action follow | Only Course of Action II follows. | Both Courses of Action follow (Alternate Slip)",1,"3","Replaced duplicate choice at option index [3] with unique plausible distractor.",true,2026-08-19T09:40:00.027Z
cmstwd59w008p04l5tnhnhl98,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Both Courses of Action follow | Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow.","Both Courses of Action follow | Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow (Alternate Slip)",0,"3","Replaced duplicate choice at option index [3] with unique plausible distractor.",true,2026-08-19T09:40:00.084Z
cmstwd59w008q04l5fzrsvuh1,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.132Z
cmstwd59w008r04l5lqdhbo6q,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.",2,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.180Z
cmstwd59w008s04l5dqxkv3vx,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action II follows | Only Course of Action II follows (Alternate Slip) | Both Courses of Action follow.",1,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:40:00.226Z
cmstwd59w008t04l5xqn6tm52,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows | Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows | Only Course of Action I follows (Alternate Slip) | Only Course of Action II follows. | Both Courses of Action follow.",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:00.272Z
cmstwd59w008u04l59qpwfe29,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.320Z
cmstwd59w008v04l5niuxt05l,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows | Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows | Only Course of Action I follows (Alternate Slip) | Only Course of Action II follows. | Both Courses of Action follow.",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:00.414Z
cmstwd59w008w04l5h98l85t8,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.471Z
cmstwd59w008x04l5bklgdtgx,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows","Only Course of Action I follows. | Only Course of Action II follows. | Both Courses of Action follow. | Only Course of Action I follows",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.526Z
cmstwd59w008y04l5in2pfag9,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.",2,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.572Z
cmstwd59w008z04l571790ddi,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action I follows | Only Course of Action II follows. | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action I follows | Only Course of Action II follows. | Both Courses of Action follow.",1,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.619Z
cmstwd59w009004l5tlnvgdv3,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.","Only Course of Action I follows. | Only Course of Action II follows. | Only Course of Action I follows | Both Courses of Action follow.",2,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.668Z
cmstwdq0t00k704l5cwgfjles,"Verbal Ability","Paragraph Organization - Coherence & Structural Flow","ACBD | CAB D | ACBD | CADB","ACBD | CAB D | ACBD (Alternate Slip) | CADB",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:40:00.721Z
cmstwjl0w006004l228t05od7,"Numerical Reasoning","Geometry - Geometric Theorems, Shapes & Solids","(1, -3) | (-1, 3) | (-2, 6) | (5, -5)","(1, -3) | (-1, 3) | (-2, 6) | (5, -5)",1,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.775Z
cmstwjl0w006f04l21t9vli2e,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","6x - y | 6x + y | 18x + y | 6x - 41y","6x - y | 6x + y | 18x + y | 6x - 41y",1,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.826Z
cmstwjl0w006g04l2hhk4e3qu,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","9x² y² | 7x² y² | 9x⁶ y⁴ | 4x² y² + 5","9x² y² | 7x² y² | 11x² y² | 4x² y² + 5",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:40:00.872Z
cmstwjl0x006t04l2qcvpkp8l,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","h = S / (2πr) - r | h = (S + 2πr²) / (2πr) | h = (S - πr²) / (2πr) | h = (S - 2πr²) / (2πr)","h = S / (2πr) - r | h = (S + 2πr²) / (2πr) | h = (S - πr²) / (2πr) | h = (S - 2πr²) / (2πr)",3,"","Replaced duplicate choice at option index [] with unique plausible distractor.",true,2026-08-19T09:40:00.965Z
cmstwjl0x006u04l2sycsx4s8,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","P = A / (1 + rt) | P = A(1 + rt) | P = (A - 1) / (rt) | P = A - rt","P = A / (1 + rt) | 2/2 | 0/2 | P = A - rt",0,"1;2","Replaced duplicate choice at option index [1, 2] with unique plausible distractor.",true,2026-08-19T09:40:01.012Z
cmstwjl0x007004l2drkqv6r4,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","x > 3 | x < -3 | x < 3 | x > -3","x > 3 | x < 3 (Alternate Slip) | x < 3 | x < 3 (Alternate Slip)",2,"1;3","Replaced duplicate choice at option index [1, 3] with unique plausible distractor.",true,2026-08-19T09:40:01.060Z
cmstwjl0x007104l2i7gqrf7o,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","x ≤ -4 | x ≥ -4 | x ≥ 4 | x ≤ 4","x ≤ -4 | x ≥ -4 | x ≥ -4 (Alternate Slip) | x ≥ -4 (Alternate Slip)",1,"2;3","Replaced duplicate choice at option index [2, 3] with unique plausible distractor.",true,2026-08-19T09:40:01.106Z
cmstkgcjj005p20u10089v97l,"Numerical Reasoning","Number Sequence - Pattern Recognition","7 | -8 | 8 | 6","7 | -8 | 9 | 6",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:40:01.152Z
cmstkgbyo001p20u1tz0mbh2u,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","16 | 20 | -16 | 24","16 | 20 | 22 | 24",1,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:40:01.201Z
cmstkgbyo001r20u1b041nki2,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","18 | -18 | 68 | 22","18 | 20 | 68 | 22",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.250Z
cmstkgbyo001t20u120wbs1ba,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-6/5 | 6/5 | -2 | -3/5","-6/5 | -4/5 | -2 | -3/5",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.297Z
cmstkgbyo001x20u10lw1skbr,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","16/13 | -16/13 | 8/13 | 16/17","16/13 | 18/13 | 8/13 | 16/17",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.344Z
cmstkgbyp002720u1h23l70dy,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-1/12 | 1/12 | -1/6 | 17/12","-1/12 | -3/12 | -1/6 | 17/12",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.392Z
cmstkgcbq003f20u1lpizrn8r,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-11 | 11 | -1.1 | -22","-11 | -9 | -1.1 | -22",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.488Z
cmstkgcbq003i20u10hzob83f,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","0 | 8 | 16 | -8","0 | 8 | 16 | 2",0,"3","Replaced duplicate choice at option index [3] with unique plausible distractor.",true,2026-08-19T09:40:01.536Z
cmstkgcbq003l20u1wb4f742q,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","4 | 2 | 8 | -4","4 | 2 | 8 | 6",0,"3","Replaced duplicate choice at option index [3] with unique plausible distractor.",true,2026-08-19T09:40:01.582Z
cmstkgcbq003n20u1c0mhje3w,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-50 | 50 | -100 | 0","-50 | -48 | -100 | 0",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.630Z
cmstkgcbq003q20u1b8cc7qmj,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-1/16 | 1/16 | -1/32 | -33/16","-1/16 | -3/16 | -1/32 | -33/16",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.680Z
cmstkgcbq003s20u1fzporict,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","1 | -1 | 0 | 20","1 | 3 | 0 | 20",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.731Z
cmstkgcbq003u20u12uif0i4x,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","-7^circC | -5^circC | 7^circC | -9^circC","-7^circC | -5^circC | -14^circC | -9^circC",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:40:01.781Z
cmstkgcbr004e20u1df5fe9as,"Numerical Reasoning","Basic Operations - Arithmetic   Number Properties","+0.04% | +0.40% | -0.04% | +0.14%","+0.04% | +0.40% | 2.04% | +0.14%",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:40:01.828Z
cmstkgcjj005m20u189hod2rt,"Numerical Reasoning","Number Sequence - Pattern Recognition","-100 | 100 | -121 | -81","-100 | -98 | -121 | -81",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.875Z
cmstkgcjj005t20u1doh29l1l,"Numerical Reasoning","Number Sequence - Pattern Recognition","610 | -610 | 377 | -987","610 | 612 | 377 | -987",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:01.922Z
cmstkgcjj006120u1udkjn6sh,"Numerical Reasoning","Number Sequence - Pattern Recognition","2/9 | -2/9 | 2/27 | -1/9","2/9 | 4/9 | 2/27 | -1/9",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:02.015Z
cmstkgcjj006320u1xby4gn3k,"Numerical Reasoning","Number Sequence - Pattern Recognition","3⁶ × 2¹⁵ (or 23,887,872) | 3⁶ × 2¹⁶ | 3⁵ × 2¹⁵ | 3⁶ × 2²¹","3⁶ × 2¹⁵ (or 23,887,872) | 3⁶ × 2¹⁶ | 5⁶ × 2¹⁵ (or 23,887,872) | 1⁶ × 2¹⁵ (or 23,887,872)",0,"2;3","Replaced duplicate choice at option index [2, 3] with unique plausible distractor.",true,2026-08-19T09:40:02.062Z
cmstkgcjj006720u11xmqyqm7,"Numerical Reasoning","Number Sequence - Pattern Recognition","2 | 1 | √2 | 0","2 | 1 | 4 | 0",0,"2","Replaced duplicate choice at option index [2] with unique plausible distractor.",true,2026-08-19T09:40:02.109Z
cmstkgcjk007g20u1d3zisxfi,"Numerical Reasoning","Number Sequence - Special Sequences","-1 | 1 | 0 | -2","-1 | -3 | 0 | -2",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:02.156Z
cmstkgcjl008420u1r707eins,"Numerical Reasoning","Number Sequence - Higher","80 | -80 | 81 | -81","80 | 82 | 81 | 78",0,"1;3","Replaced duplicate choice at option index [1, 3] with unique plausible distractor.",true,2026-08-19T09:40:02.203Z
cmstkgcqu008k20u1baoy1l6m,"Numerical Reasoning","Number Sequence - Higher","4 | -4 | 2 | -6","4 | 8 | 2 | -6",0,"1","Replaced duplicate choice at option index [1] with unique plausible distractor.",true,2026-08-19T09:40:02.249Z
cmstkgdia00m320u1da9g1p7s,"Analytical Reasoning","Symbolic Logic Abstract Reasoning - Logic Reasoning Types","{iota, kappa} | {θ, λ} | {θ, iota, kappa, λ} | {kappa, λ}","{iota, kappa} | {iota, kappa} (Alternate Slip) | {iota, kappa} (Alternate Slip) | {kappa, λ}",0,"1;2","Replaced duplicate choice at option index [1, 2] with unique plausible distractor.",true,2026-08-19T09:40:02.297Z
cmstkgeie00yk20u1u2ziml95,"Analytical Reasoning","Data Interpretation - Quantitative and Graphical Analysis","000 | 000 × 0.95 × 0.90 × 0.95 × 0.90 = 2 | 000 | 000 × 0.855 × 0.855 = 2","1,462,050 subscribers | 1,400,000 subscribers | 1,480,500 subscribers | 1,520,000 subscribers",0,"0;1;2;3","Restored corrupted prompt, options, and explanations from master Batch 118 dataset.",true,2026-08-19T09:40:02.344Z
