category,subtopic,prompt,optionA,optionB,optionC,optionD,answerIndex,explanation
NUMERICAL REASONING,Data Interpretation,"The table below presents DOST research grant distributions across four scientific fields over two fiscal years:

| Field | FY 2023 Grant (₱) | FY 2024 Grant (₱) |
| --- | --- | --- |
| Biotechnology | 12,000,000 | 15,000,000 |
| Renewable Energy | 18,000,000 | 22,000,000 |
| Agriculture & Aquaculture | 20,000,000 | 25,000,000 |
| Information Technology | 10,000,000 | 18,000,000 |

Which scientific field experienced the highest percentage growth in research grant funding from FY 2023 to FY 2024?",Biotechnology,Renewable Energy,Agriculture & Aquaculture,Information Technology,3,"• Biotech Growth = (3M / 12M) × 100 = 25.0%
• Renewable Energy = (4M / 18M) × 100 = 22.2%
• Agriculture = (5M / 20M) × 100 = 25.0%
• IT Growth = (8M / 10M) × 100 = 80.0%
• Information Technology experienced the highest percentage growth (80%)."
NUMERICAL REASONING,Data Interpretation,"The text bar chart below shows driver's license applications processed at an LTO licensing center over five months:

January: [████████████] 2,400
February: [██████████] 2,000
March: [████████████████] 3,200
April: [██████████████] 2,800
May: [██████████████████] 3,600

What is the absolute difference between the highest and lowest monthly application volumes processed during this period?","1,200","1,400","1,600","1,800",2,"• Highest Month = May (3,600)
• Lowest Month = February (2,000)
• Absolute Difference = 3,600 − 2,000 = 1,600 applications"
NUMERICAL REASONING,Data Interpretation,"The textual line graph data below tracks headline inflation rates (%) recorded at the end of four consecutive quarters:

| Quarter | Headline Inflation Rate (%) |
| --- | --- |
| Q1 2023 | 8.6% |
| Q2 2023 | 5.4% |
| Q3 2023 | 6.1% |
| Q4 2023 | 3.9% |

What was the percentage point reduction in headline inflation rate from Q1 2023 to Q4 2023?",3.2 percentage points,4.7 percentage points,5.1 percentage points,5.5 percentage points,1,"• Q1 2023 Rate = 8.6%
• Q4 2023 Rate = 3.9%
• Reduction = 8.6% − 3.9% = 4.7 percentage points"
NUMERICAL REASONING,Data Interpretation,"A police district office has a total personnel strength of 800 officers distributed across operational units as follows:

| Unit | Percentage Share |
| --- | --- |
| Patrol & Field Operations | 50% |
| Criminal Investigation | 20% |
| Traffic Enforcement | 15% |
| Administrative Services | 10% |
| Special Weapons & Tactics | 5% |

What is the ratio of officers in Patrol & Field Operations to officers in Administrative Services?",3 : 1,4 : 1,5 : 1,6 : 1,2,"• Patrol Officers = 800 × 50% = 400
• Administrative Officers = 800 × 10% = 80
• Ratio = 400 : 80 = 5 : 1"
NUMERICAL REASONING,Data Interpretation,"The textual summary below reports job fair results organized by DOLE across three industry sectors:

| Sector | Total Applicants | Hired-on-the-Spot Rate (%) |
| --- | --- | --- |
| Manufacturing | 1,500 | 12% |
| Services | 2,000 | 15% |
| Information Technology | 1,000 | 25% |

What percentage of the overall total applicants across all three sectors were hired on the spot?",14.2%,16.2%,17.3%,18.5%,1,"• Hired Manufacturing = 1,500 × 0.12 = 180
• Hired Services = 2,000 × 0.15 = 300
• Hired IT = 1,000 × 0.25 = 250
• Total Hired = 180 + 300 + 250 = 730
• Total Applicants = 1,500 + 2,000 + 1,000 = 4,500
• Overall Rate = (730 / 4,500) × 100 = 16.22%"
NUMERICAL REASONING,Data Interpretation,"The table below shows fully immunized child coverage rates in four provinces over two health campaign years:

| Province | Year 1 Coverage | Year 2 Coverage |
| --- | --- | --- |
| Province X | 65% | 78% |
| Province Y | 70% | 81% |
| Province Z | 55% | 72% |
| Province W | 80% | 90% |

Which province achieved the largest percentage point gain in child immunization coverage between Year 1 and Year 2?",Province X,Province Y,Province Z,Province W,2,"• Province X Gain = 78% − 65% = 13 percentage points
• Province Y Gain = 81% − 70% = 11 percentage points
• Province Z Gain = 72% − 55% = 17 percentage points
• Province W Gain = 90% − 80% = 10 percentage points
• Province Z achieved the largest gain (17 percentage points)."
NUMERICAL REASONING,Data Interpretation,"The table below shows public school enrollment and teacher counts in four division districts:

| District | Enrolled Students | Plantilla Teachers |
| --- | --- | --- |
| District 1 | 9,000 | 200 |
| District 2 | 12,000 | 300 |
| District 3 | 15,000 | 250 |
| District 4 | 8,000 | 160 |

The Department of Education sets a standard target ratio of 35 students per teacher. Which district currently exceeds this ratio by the largest margin?",District 1,District 2,District 3,District 4,2,"• District 1 Ratio = 9,000 / 200 = 45 (Exceeds target by 10)
• District 2 Ratio = 12,000 / 300 = 40 (Exceeds target by 5)
• District 3 Ratio = 15,000 / 250 = 60 (Exceeds target by 25)
• District 4 Ratio = 8,000 / 160 = 50 (Exceeds target by 15)
• District 3 exceeds the target ratio by the largest margin (60 students per teacher vs target 35)."
NUMERICAL REASONING,Data Interpretation,"The table below records emergency dispatch response times (in minutes) for four fire stations across three city sectors during emergency drills:

| Fire Station | Sector A | Sector B | Sector C |
| --- | --- | --- | --- |
| Station 101 | 8.5 | 9.0 | 7.5 |
| Station 102 | 6.0 | 8.0 | 10.0 |
| Station 103 | 7.0 | 6.5 | 7.5 |
| Station 104 | 9.0 | 8.5 | 8.0 |

Which fire station demonstrated the fastest overall average emergency response time across all three sectors?",Station 101,Station 102,Station 103,Station 104,2,"• Station 101 Avg = (8.5 + 9.0 + 7.5) / 3 = 8.33 min
• Station 102 Avg = (6.0 + 8.0 + 10.0) / 3 = 8.00 min
• Station 103 Avg = (7.0 + 6.5 + 7.5) / 3 = 7.00 min
• Station 104 Avg = (9.0 + 8.5 + 8.0) / 3 = 8.50 min
• Station 103 has the fastest average response time (7.0 minutes)."
NUMERICAL REASONING,Data Interpretation,"The table below compares monthly customs revenue collection targets and actual collections (in million Pesos) for a major port entry:

| Month | Revenue Target (₱M) | Actual Collection (₱M) |
| --- | --- | --- |
| January | 450 | 480 |
| February | 400 | 420 |
| March | 500 | 490 |
| April | 450 | 460 |

Across the entire 4-month period, what was the total net revenue surplus (or deficit) compared to the cumulative target?",₱30M Surplus,₱40M Surplus,₱50M Surplus,₱60M Surplus,2,"• Total Revenue Target = 450 + 400 + 500 + 450 = ₱1,800M
• Total Actual Collection = 480 + 420 + 490 + 460 = ₱1,850M
• Net Surplus = 1,850M − 1,800M = ₱50M Surplus"
NUMERICAL REASONING,Data Interpretation,"The Bureau of Fisheries and Aquatic Resources (BFAR) categorizes registered commercial fishing vessels and collects annual license fees as follows:

| Category | Tonnage Range | Annual Base Fee per Vessel | Active Registered Vessels |
| --- | --- | --- | --- |
| Small Scale | 3.1 to 20 gross tons | ₱5,000 | 120 |
| Medium Scale | 20.1 to 150 gross tons | ₱12,000 | 80 |
| Large Scale | Above 150 gross tons | ₱25,000 | 40 |

If BFAR increases the license fee for Large Scale vessels by 20% and Medium Scale vessels by 10% while keeping Small Scale fees unchanged, what will be the new total annual revenue generated from all registered vessels?","₱2,656,000","₱2,856,000","₱2,920,000","₱3,056,000",1,"• Small Scale = 120 × ₱5,000 = ₱600,000
• Medium Scale New Fee = ₱12,000 × 1.10 = ₱13,200 → 80 × ₱13,200 = ₱1,056,000
• Large Scale New Fee = ₱25,000 × 1.20 = ₱30,000 → 40 × ₱30,000 = ₱1,200,000
• Total Revenue = 600,000 + 1,056,000 + 1,200,000 = ₱2,856,000"
NUMERICAL REASONING,Data Interpretation,"The Department of Agriculture distributed organic fertilizer sacks to three agrarian cooperatives across four quarters:

| Cooperative | Q1 | Q2 | Q3 | Q4 |
| --- | --- | --- | --- | --- |
| Co-op Alpha | 250 | 300 | 350 | 300 |
| Co-op Beta | 400 | 450 | 500 | 450 |
| Co-op Gamma | 150 | 200 | 250 | 200 |

What was the overall average number of fertilizer sacks distributed per quarter across ALL three cooperatives combined?",900 sacks,950 sacks,"1,000 sacks","1,050 sacks",1,"• Total Q1 = 800 | Total Q2 = 950 | Total Q3 = 1,100 | Total Q4 = 950
• Grand Total Sacks = 3,800 sacks
• Average per quarter = 3,800 / 4 = 950 sacks"
NUMERICAL REASONING,Data Interpretation,"The textual bar graph below displays public Free Wi-Fi hotspots established by DICT in four provinces:

Province A: [██████████] 500
Province B: [████████████████] 800
Province C: [████████████] 600
Province D: [██████████████] 700

What percentage share of the total hotspots established across all four provinces is contributed by Province B and Province D combined?",53.6%,57.7%,61.5%,65.2%,1,"• Total Hotspots = 500 + 800 + 600 + 700 = 2,600
• Combined B & D = 800 + 700 = 1,500
• Percentage Share = (1,500 / 2,600) × 100 = 57.69%"
NUMERICAL REASONING,Data Interpretation,"The table below tracks quarterly container traffic (in Twenty-Foot Equivalent Units, TEUs) handled at a major seaport:

| Quarter | Container Volume (TEUs) |
| --- | --- |
| Q1 | 45,000 |
| Q2 | 54,000 |
| Q3 | 60,000 |
| Q4 | 48,000 |

What was the percentage decrease in container volume from Quarter 3 to Quarter 4?",15.0%,18.0%,20.0%,22.5%,2,"• Q3 Volume = 60,000 TEUs
• Q4 Volume = 48,000 TEUs
• Volume Decrease = 60,000 − 48,000 = 12,000 TEUs
• Percentage Decrease = (12,000 / 60,000) × 100 = 20.0%"
NUMERICAL REASONING,Data Interpretation,"The pie chart breakdown below shows the allocation of a ₱50,000,000 DENR Forest Management Fund:

| Program Area | Allocation Share |
| --- | --- |
| Reforestation & Tree Planting | 40% |
| Forest Protection & Patrol | 30% |
| Community Agroforestry | 15% |
| Biodiversity Monitoring | 10% |
| Administrative Support | 5% |

How much money in Pesos is allocated specifically to Reforestation & Tree Planting?","₱15,000,000","₱20,000,000","₱25,000,000","₱30,000,000",1,"• Total Fund = ₱50,000,000
• Reforestation Share = 40%
• Allocated Amount = ₱50,000,000 × 0.40 = ₱20,000,000"
NUMERICAL REASONING,Data Interpretation,"A municipal DSWD office distributes monthly cash grants to 200 Pantawid Pamilya beneficiary households under the following grant rules:

| Grant Type | Monthly Rate per Household | Eligible Households |
| --- | --- | --- |
| Health & Nutrition Grant | ₱750 | All 200 households |
| Primary Education Grant | ₱300 per child | 120 households (1 child each) |
| Junior High Education Grant | ₱500 per child | 80 households (1 child each) |

What is the total combined monthly cash grant payout disbursed by the DSWD office to all 200 households?","₱216,000","₱226,000","₱236,000","₱246,000",1,"• Health Grant Total = 200 × ₱750 = ₱150,000
• Primary Ed Grant Total = 120 × ₱300 = ₱36,000
• Junior High Ed Grant Total = 80 × ₱500 = ₱40,000
• Grand Total = 150,000 + 36,000 + 40,000 = ₱226,000"
